alert_id,Type,Rule_name,Status,Transaction_id
885021,Hard Stop,Rule7,Rejected,13543599
885022,Hard Stop,Rule3,Rejected,13543654
885023,Hard Stop,Rule3,Rejected,13543690
885024,Hard Stop,Rule6,Rejected,"13543722, 13543749, 13543804"
885025,Hard Stop,Rule2,Rejected,13543915
885026,Hard Stop,Rule7,Rejected,13543999
885027,Hard Stop,Rule4,Rejected,13544015
885028,Hard Stop,Rule4,Rejected,13544098
885029,Hard Stop,Rule7,Rejected,13544140
885030,Hard Stop,Rule2,Rejected,13544182
885031,Hard Stop,Rule5,Rejected,13544190
885032,Hard Stop,Rule2,Rejected,13544287
885033,Hard Stop,Rule4,Rejected,13544310
885034,Hard Stop,Rule3,Rejected,13544368
885035,Hard Stop,Rule3,Rejected,13544416
885036,Hard Stop,Rule6,Rejected,13544432
885037,Hard Stop,Rule7,Rejected,13544441
885038,Hard Stop,Rule5,Rejected,13544446
885039,Hard Stop,Rule2,Rejected,13544504
885040,Hard Stop,Rule6,Rejected,13544524
885041,Hard Stop,Rule4,Rejected,13544552
885042,Hard Stop,Rule6,Rejected,13544583
885043,Hard Stop,Rule2,Rejected,13544660
885044,Hard Stop,Rule6,Rejected,13544704
885045,Hard Stop,Rule1,Rejected,13544918
885046,Hard Stop,Rule5,Rejected,13544922
885047,Hard Stop,Rule6,Rejected,13544926
885048,Hard Stop,Rule7,Rejected,13544942
885049,Hard Stop,Rule4,Rejected,13544970
885050,Hard Stop,Rule5,Rejected,13544999
885051,Hard Stop,Rule3,Rejected,13545001
885052,Hard Stop,Rule1,Rejected,13545047
885053,Hard Stop,Rule6,Rejected,13545066
885054,Hard Stop,Rule2,Rejected,13545112
885055,Hard Stop,Rule2,Rejected,13545173
885056,Hard Stop,Rule4,Rejected,13545187
885057,Hard Stop,Rule3,Rejected,13545189
885058,Hard Stop,Rule2,Rejected,13545193
885059,Hard Stop,Rule4,Rejected,13545204
885060,Hard Stop,Rule1,Rejected,13545263
885061,Hard Stop,Rule4,Rejected,13545329
885062,Hard Stop,Rule6,Rejected,13545434
885063,Hard Stop,Rule5,Rejected,13545440
885064,Hard Stop,Rule7,Rejected,13545597
885065,Hard Stop,Rule5,Rejected,13545647
885066,Hard Stop,Rule3,Rejected,13545655
885067,Hard Stop,Rule6,Rejected,13545673
885068,Hard Stop,Rule2,Rejected,13545701
885069,Hard Stop,Rule3,Rejected,13545709
885070,Hard Stop,Rule6,Rejected,13545755
885071,Hard Stop,Rule1,Rejected,13545776
885072,Hard Stop,Rule1,Rejected,13545824
885073,Hard Stop,Rule2,Rejected,13545845
885074,Hard Stop,Rule3,Rejected,13545925
885075,Hard Stop,Rule7,Rejected,13545942
885076,Hard Stop,Rule6,Rejected,13545991
885077,Hard Stop,Rule2,Rejected,13546012
885078,Hard Stop,Rule5,Rejected,13546078
885079,Hard Stop,Rule6,Rejected,13546247
885080,Hard Stop,Rule1,Rejected,13546255
885081,Hard Stop,Rule5,Rejected,13546331
885082,Hard Stop,Rule5,Rejected,13546402
885083,Hard Stop,Rule6,Rejected,13546414
885084,Hard Stop,Rule1,Rejected,13546459
885085,Hard Stop,Rule5,Rejected,13546507
885086,Hard Stop,Rule5,Rejected,13546541
885087,Hard Stop,Rule2,Rejected,13546562
885088,Hard Stop,Rule5,Rejected,13546643
885089,Hard Stop,Rule2,Rejected,13546675
885090,Hard Stop,Rule1,Rejected,13546787
885091,Hard Stop,Rule3,Rejected,13546827
885092,Hard Stop,Rule6,Rejected,13546873
885093,Hard Stop,Rule1,Rejected,13546901
885094,Hard Stop,Rule7,Rejected,13546914
885095,Hard Stop,Rule3,Rejected,13547068
885096,Hard Stop,Rule4,Rejected,13547081
885097,Hard Stop,Rule5,Rejected,13547092
885098,Hard Stop,Rule6,Rejected,13547176
885099,Hard Stop,Rule5,Rejected,13547178
885100,Hard Stop,Rule5,Rejected,13547225
885101,Hard Stop,Rule6,Rejected,13547287
885102,Hard Stop,Rule3,Rejected,13547476
885103,Hard Stop,Rule1,Rejected,13547523
