Transaction_id,customer_id,Payment direction,Payment Status,Payment Type,payment system,Product,Payment Amount,Payment Currency,Transaction_date,CounterpartBIC
13543560,1166,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-12,FJDCLVXX
13543561,1134,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-20,FJKULVXX
13543562,1148,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-05,LKJFLVXX
13543563,1165,OUTGOING,ON HOLD,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-25,FJKUUKXX
13543564,1164,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-15,HGKHLVXX
13543565,1146,OUTGOING,ON HOLD,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-22,HKKJUKXX
13543566,1162,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-23,HKKJLTXX
13543567,1159,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-15,GLKLCYXX
13543568,1136,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-10,JKGJDEXX
13543569,1139,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-09,HKKJEEXX
13543570,1126,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-24,CIUVLVXX
13543571,1123,OUTGOING,ON HOLD,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-23,HKKJLVXX
13543572,1138,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-12,HGKHCYXX
13543573,1156,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-02,HKKJLTXX
13543574,1145,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-05,FJKULVXX
13543575,1130,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-17,FJDCLVXX
13543576,1151,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-24,HGKHLVXX
13543577,1128,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-18,HKKJLVXX
13543578,1160,OUTGOING,ON HOLD,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-10,HGKHCYXX
13543579,1159,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-14,HKKJEEXX
13543580,1161,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-02,UWEIDEXX
13543581,1135,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-30,HJGFLVXX
13543582,1141,OUTGOING,ON HOLD,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-21,HJGFDEXX
13543583,1145,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-22,HGKHLTXX
13543584,1131,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-24,UWEILVXX
13543585,1166,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,10,EUR,2025-02-20,CIUVNGXX
13543586,1142,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-26,FJDCLVXX
13543587,1125,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-27,CIUVLTXX
13543588,1161,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-12,HKKJLVXX
13543589,1153,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-26,GLKLLTXX
13543590,1127,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-12,LKJFLVXX
13543591,1165,OUTGOING,ON HOLD,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-03,HGKHCYXX
13543592,1166,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-16,UWEILVXX
13543593,1130,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-06,HGKHLTXX
13543594,1162,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-26,LKJFLVXX
13543595,1156,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-08,FJDCUKXX
13543596,1139,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-14,HGKHLTXX
13543597,1125,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-17,LKJFLVXX
13543598,1151,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-03,HJGFLVXX
13543599,1167,OUTGOING,REJECTED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-29,FJKULVXX
13543600,1156,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-17,FJKULVXX
13543601,1154,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-14,HKKJLVXX
13543602,1141,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-24,CIUVLVXX
13543603,1128,OUTGOING,ON HOLD,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-02,GLKLLVXX
13543604,1163,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-27,GLKLLTXX
13543605,1135,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-07,HKKJDEXX
13543606,1149,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-19,LKJFUKXX
13543607,1129,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-27,UWEIDEXX
13543608,1119,OUTGOING,ON HOLD,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-02,JKGJEEXX
13543609,1127,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-03,HKKJLTXX
13543610,1130,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-08,HGKHLTXX
13543611,1153,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-09,HKKJLVXX
13543612,1128,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-17,HKKJLTXX
13543613,1164,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-03,FJKULTXX
13543614,1118,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-20,HJGFLVXX
13543615,1145,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-04,GLKLLVXX
13543616,1143,OUTGOING,ON HOLD,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-25,HJGFUKXX
13543617,1150,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-20,JKGJLVXX
13543618,1123,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-30,HKKJDEXX
13543619,1151,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-30,FJKULVXX
